Strain,Type,Rating,Effects,Flavor,Description,Strain,Medical,Cost
Sour-Diesel,sativa,4.4,"Uplifted,Euphoric,Energetic,Relaxed","Diesel,Pungent,Earthy","Sour Diesel, sometimes called Sour D, is an invigorating sativa-dominant strain named after its pungent, diesel-like aroma. This fast-acting strain delivers energizing, dreamy cerebral effects that have pushed Sour Diesel to its legendary status. Stress, pain, and depression fade away in long-lasting relief that makes Sour Diesel a top choice among medical patients. This strain took root in the early 90's, and it is believed to have descended from Chemdawg 91 and Super Skunk.",Sour-Diesel,"Stress,Depression,Fatigue,Headaches",
Sour-Tangie,sativa,4.6,"Uplifted,Euphoric,Energetic,Focused","Citrus,Diesel,Orange","DNA Genetics’ Sour Tangie is an 80% sativa cross between East Coast Sour Diesel and Tangie. Sour Tangie brings together the classic Sour Diesel aroma with Tangie’s creative, elevating buzz and strong citrus overtones. This sativa has two different phenotypes that express either Sour Diesel or Tangie bud structures and effects. Sour Tangie grows quickly in its vegetative cycle and finishes flowering in 9 to 10 weeks indoors.",Sour-Tangie,"Stress,Depression,Fatigue,Lack of Appetite,  ",
Strawberry,sativa,4.4,"Relaxed,Uplifted,Euphoric","Strawberry,Sweet,Flowery","Originally bred in the Netherlands, Strawberry is a mostly sativa cannabis strain with a pungent fruity scent and uplifting effects. Consumers prone to anxiety choose Strawberry for its stress-relieving qualities without the jarring paranoia common among high THC strains. Comfortable and relaxing, Strawberry brings physical and mental relief to patients treating symptoms mild or severe. Strawberry is grown both indoors and out with a 9 week flowering time.",Strawberry,"Stress,Depression,Inflammation ",
Strawberry-Banana,hybrid,4.5,"Relaxed,Euphoric,Uplifted,Creative","Strawberry,Sweet,Berry","Strawberry Banana is a 70/30 indica-dominant cannabis strain developed by DNA Genetics in collaboration with Serious Seeds. A genetic cross between Crockett’s Banana Kush and the “Strawberry” phenotype of Bubble Gum, Strawberry Banana inherits a sweet fruity flavor that earned this hybrid her name. Known for its heavy resin production and high THC content, Strawberry Banana produces happy, peaceful effects that sharpen creativity and sensory awareness.",Strawberry-Banana,"Stress,Depression,Lack of Appetite,Insomnia",
Strawberry-Blondie,hybrid,4.9,"Euphoric,Uplifted,Relaxed,Creative","Strawberry,Sweet,Earthy","Strawberry Blondie by Los Angeles Kush is an indica-dominant hybrid with soothing effects and full flavors. Created by crossing the famous Strawberry Banana with another indica-dominant dose of fruitiness, Banana OG, this fruit basket strain offers a sweet and flavorful terpene profile with relaxing effects. Known as an exceptional sleep aid, Strawberry Blondie imbues the consumer with an introspective mental buzz and a deep body high that slowly lulls consumers into a meditative and peaceful physical state. ",Strawberry-Blondie,"Stress,Depression,Insomnia,Lack of Appetite, ",
Strawberry-Lemonade,sativa,4.3,"Relaxed,Euphoric,Uplifted,Energetic","Strawberry,Lemon,Berry","Strawberry Lemonade is a sativa-dominant strain that took 1st in High Times’ 2015 Denver Cannabis Cup as “Best Sativa Concentrate.” The supposed cross of Strawberry Cough and Lemon OG, Strawberry Lemonade stays true to form, exhibiting tangy aromas and flavors coupled with a heady onset and complementary body effects. Enjoy Strawberry Lemonade throughout the day, but don’t plan too far ahead as this strain can be whimsical and intensely relaxing.",Strawberry-Lemonade,"Stress,Depression,Inflammation,Fatigue",
Strawberry-Milkshake,hybrid,4.4,"Relaxed,Uplifted,Euphoric","Sweet,Strawberry,Berry","Strawberry Milkshake, a perfect 50/50 hybrid, flaunts the fruity flavor of its parent, Strawberry Soda, and the pungent richness of White Fire Alien OG. This combination leaves muscles relaxed and politely tranquilizes overactive, racing minds. Expect laughter, a touch of energy, and a noticeable weight in the eyes.",Strawberry-Milkshake,"Headaches,Stress,Depression,Fatigue,Insomnia",
Sunset-Sherbert,hybrid,4.6,"Relaxed,Euphoric,Uplifted,Creative","Sweet,Citrus,Earthy","Heir to the Girl Scout Cookies throne is Sunset Sherbet (or Sunset Sherbert), an indica-leaning hybrid with intoxicatingly potent effects. Sunset Sherbet inherits the genetic lineage of its Girl Scout Cookies parent, whose ancestors include the famed OG Kush, Cherry Pie, and Durban Poison. Crossed with an indica known as Pink Panties, Sunset Sherbet exhibits powerful full-body effects elevated by a jolt of cerebral energy. A complex aroma colors Sunset Sherbet with notes of skunky citrus, sweet berry, and that candy-like smell redolent of its Girl Scout Cookies parent. Stress, tension, and sour moods melt away with the carefree mindset and physical relaxation that comes with this rich hybrid.",Sunset-Sherbert,"Stress,Depression,Fatigue,Insomnia",
Super-Green-Crack,sativa,4.5,"Energetic,Focused,Euphoric","Earthy,Flowery,Pungent","Super Green Crack is a true sativa. Like a cup of strong coffee, this strain will give you a hefty boost of energy to start your day. The daughter of Super Silver Haze and Green Crack, Super Green Crack is vivacious, thoughtful, and creative. This strain is perfect for those looking to combat fatigue or depression. Super Green Crack features an extremely pungent aroma,  producing a strong skunk-like scent. The effects of this strain are moderate to long-lasting, and a little goes a long way.",Super-Green-Crack,"Depression,Muscle Spasms,Inflammation",
Super-Lemon-Haze,sativa,4.4,"Uplifted,Energetic,Euphoric,Focused","Lemon,Citrus,Sweet","A sativa-dominant hybrid of Lemon Skunk and Super Silver Haze and two time Cannabis Cup winner from Green House Seeds. Super Lemon Haze is a kief-caked multi-colored wonder. As the name states this strain has real lemony characteristics. The smell is zesty, citrusy, and a little sweet. As for the taste, it's everything one would expect from the namesake; tart and sweet like lemonheads candy - not quite as sharp as one might expect. The effects are uniquely energetic and lively, may not be the best strain for those of us that are naturally wound-up tight.",Super-Lemon-Haze,"Stress,Depression,Lack of Appetite,Fatigue, ",
Swiss-Tsunami,sativa,4.8,"Relaxed,Uplifted,Focused,Euphoric,Sleepy","Earthy,Citrus,Orange","Swiss Tsunami is a rare CBD-rich strain with a pungent smell. A genetic cross of Swiss Gold and Sour Tsunami, Swiss-Tsu is a potent pairing that can generate over 14% CBD with just 0.5% THC on average. Reeking of skunky, herbaceous terpenes and having the bright yet delicate flavor of orange peel on the exhale, Swiss Tsunami is a connoisseur CBD cut in a league of its own. Enjoy this strain to help relieve inflammation, nausea, and anxiety.",Swiss-Tsunami,"Stress,Depression,Fatigue,Headaches",
Tangie,sativa,4.5,"Uplifted,Energetic,Euphoric,Relaxed","Citrus,Orange,Sweet","Tangie is another fantastic offering from DNA Genetics in Amsterdam that has quickly gained popularity in its home and is spreading elsewhere. This strain is a remake of sorts of the popular version of Tangerine Dream that was sought-after in the 1990s. The genetics on this strain are a cross of California Orange and a Skunk hybrid, and its citrus heritage is the most evident in its refreshing tangerine aroma. As a plant, Tangie grows best outside, producing sticky buds that provide euphoric yet relaxed effects.",Tangie,"Stress,Depression,Fatigue,Lack of Appetite",
The-White,hybrid,4.6,"Relaxed,Euphoric,Creative,Uplifted","Earthy,Pine,Pungent","This mysterious strain, supposedly from somewhere in Florida and originally called “Triangle,” is aptly named; The White is covered with so many white trichomes that the buds look like they were rolled in confectioner’s sugar. While it looks much like an OG in structure and certainly has the potency associated with the best OG Kush cuts, it has little of the smell or flavor found in those West Coast favorites. In fact, The White is actually known for a distinct lack of odor or flavor, leaving some to pass it over in favor of other more pungent varieties. The high is usually described as a true hybrid effect with equal body and head sensation, and definitely very potent.",The-White,"Stress,Depression,Insomnia,Headaches",
Trainwreck,hybrid,4.2,"Euphoric,Relaxed,Uplifted,Creative","Earthy,Pine,Lemon","Trainwreck is a mind-bending hybrid with potent sativa effects that hit like a freight train. Mexican and Thai sativas were bred with Afghani indicas to produce this Northern California staple, passing on a sweet lemon and spicy pine aroma. Trainwreck begins its speedy hurtle through the mind with a surge of euphoria, awakening creativity and happiness. Migraines, pain, and arthritis are mowed down by Trainwreck’s high THC content, and many patients also use it for relief of anxiety, ADD/ADHD, and PTSD. Trainwreck flowers finish up in early October outdoors, while indoor gardens are ready for harvest 8 weeks into flowering.",Trainwreck,"Stress,Depression,ain,Fatigue,Headaches",
Truffle-Butter,indica,4.5,"Sleepy,Euphoric","Sweet,Vanilla,Chestnut","Truffle Butter by THClones is a sedating genetic cross with sweet terpenes. Created by crossing Gelato and Chocolate Kush, this strain’s aroma is a mixture of fruit, caramel, and floral notes. Truffle Butter gently sedates the body, turning even seasoned consumers into lethargic couch potatoes. This strain’s relaxing qualities make it ideal for abating stress and insomnia.  ",Truffle-Butter,"Stress,Insomnia,Headaches,Depression",
Venom-Og,hybrid,4.4,"Relaxed,Euphoric,Sleepy,Uplifted","Earthy,Pungent,Pine","Venom OG from Rare Dankness Seeds is an indica-dominant cross between Poison OG and Rare Dankness #1. Its forest-green buds are dense with a tangle of bright orange hairs, and it has an aroma of skunk, pine, lemon, and diesel. This strain is recommended for nighttime use as its effects tend toward full-body relaxation, but it also provides some sensory elevation that is enjoyable for lazy activities. Patients have found Venom OG a potent remedy for pain, arthritis, anxiety, and sleep disorders. Venom OG is suitable for outdoor or indoor gardens and its breeders suggest a 50 to 65-day flowering period.",Venom-Og,"Stress,Depression,Nausea,Inflammation",
Watermelon,indica,4.5,"Relaxed,Hungry,Sleepy,Euphoric","Sweet,Berry,Tropical","Watermelon is an 80% indica strain. Its large, dense buds are valued for their high THC content and relaxing effects, useful as a sleeping aid or appetite stimulant. As the name suggests, this strain has a distinct fruity watermelon flavor profile, reminiscent of grape with hashy undertones. Watermelon is prized by growers for its high yield and potency, requiring 55 to 60 days flowering time.",Watermelon,"Stress,Depression,Muscle Spasms,Insomnia, ",
Wedding-Cake,hybrid,4.7,"Relaxed,Euphoric,Uplifted,Focused","Sweet,Vanilla,Earthy","Wedding Cake, also known as Pink Cookies, is the familial genetic cross of Girl Scout Cookies and Cherry Pie. This delectable treat is rich with tangy sweet earth and pepper, taking notes and dimension from its OG and Durban Poison parentage. Enjoy this double dose of dense dankness with care, as certain farms have noted THC content upwards of 25% or greater.",Wedding-Cake,"Stress,Depression,Lack of Appetite,Insomnia",
White-Fire-Og,hybrid,4.5,"Uplifted,Relaxed,Energetic,Euphoric","Sweet,Earthy,Pungent","White Fire OG, also known as WiFi OG, is a 60% sativa hybrid with uplifting and comfortable cerebrally focused effects. This strain combines the best features of its parent strains: the sour, earthy, diesel aroma of Fire OG and the high resin production of The White that leaves the plants covered in a dusty snowfall of crystals. Many phenotypes of White Fire OG exist, some with dense, barrel-like buds and others with pointed, conic formations. Daytime use of this strain won’t leave the consumer drowsy, making it a good choice for social and creative activities. White Fire OG is often chosen by patients to treat anxiety and depression, cancer, glaucoma, pain, and appetite loss. Growers of White Fire OG can raise their high-yielding plants outdoors or inside with a 65-day flowering period.",White-Fire-Og,"Depression,Stress,Fatigue,Lack of Appetite",
White-Widow,hybrid,4.3,"Relaxed,Euphoric,Uplifted,Energetic","Earthy,Woody,Pungent","Among the most famous strains worldwide is White Widow, a balanced hybrid first bred in the Netherlands by Green House Seeds. A cross between a Brazilian sativa landrace and a resin-heavy South Indian indica,  White Widow has blessed every Dutch coffee shop menu since its birth in the 1990s. Its buds are white with crystal resin, warning you of the potent effects to come. A powerful burst of euphoria and energy breaks through immediately, stimulating both conversation and creativity. White Widow’s genetics have given rise to many other legends like White Russian, White Rhino, and Blue Widow. Still, many growers prefer cultivation of the original White Widow, which flowers in about 60 days indoors.",White-Widow,"Stress,Depression,Insomnia,Lack of Appetite",
Xxx-Og,indica,4.5,"Relaxed,Sleepy,Euphoric,Uplifted","Pine,Woody,Earthy","XXX OG, from parent strains OG Kush and XXX, is a hard-hitting indica that took 1st place in the 2014 Los Angeles Cannabis Cup. Its bulky, conic buds glow with a heavy, white coat of oozing trichomes, emitting earthy, pine, and lemon notes that combine for a sap-like aroma. In small doses, XXX OG induces moderately sedating effects that allow some mental clarity and physical energy. As you increase the dose, the fight against lethargy and couchlock becomes futile. This makes XXX OG an excellent remedy for sleeplessness, and severe cases of nausea and chronic pain may benefit from the potent effects of this indica. With a strain this powerful, dosing with caution is key.",Xxx-Og,"Fatigue,Stress,Insomnia",
Zkittlez,indica,4.6,"Relaxed,Euphoric,Uplifted,Sleepy","Sweet,Berry,Grape","Zkittlez is an indica-dominant mix of Grape Ape and Grapefruit that is crossed with another undisclosed strain to produce this candy-flavored cannabis bred by 3rd Gen Family and Terp Hogz. This award-winning combination took 1st Place at the 2016 Emerald Cup and 1st Place Indica at the 2015 Cannabis Cups in San Francisco and in Michigan. The chunky colas explode in a spectrum of light green hues and emit a sweet, tropical blend of fruit flavors. The effects of Zkittlez are surprisingly uplifting for an indica, leaving consumers focused, alert, and happy while relaxing the body to help unwind any time of day.",Zkittlez,"Stress,Depression,Fatigue,Insomnia",
,,,,,,,,
,,,,,,,,
,# Strains Contain,# Strains starts with ,,,,,,
Relaxed,100,75,,,,,,
Uplifted,88,19,,,,,,
Euphoric,118,16,,,,,,
Energetic,38,6,,,,,,
Hungry,18,1,,,,,,
Focused,29,1,,,,,,
sleepy,42,1,,,,,,
Creative,32,0,,,,,,
,,,,,,,,
Stress,117,95,,,,,,
Depression,110,13,,,,,,
Insomnia,69,4,,,,,,
Lack of appetite,46,2,,,,,,
Fatigue,41,3,,,,,,
Head,37,1,,,,,,
Muscle,19,0,,,,,,
Inflammation,18,1,,,,,,
Nausea,16,0,,,,,,
